Sbj,Acq,File,SSIM,PSNR,AES,TG,NGS,GE,IE,Score
02-12-2020,MID00234,flirt_fnWMmoco.nii.gz,0.9995367023995712,44.45758640437697,10.75813681263396,4804608.445266848,0.0005815887428004946,393.33802410331407,1208.3167743932704,4
02-12-2020,MID00234,flirt_fnmoco.nii.gz,0.9995397427085131,44.59452562729625,10.78718718603191,4789048.073626801,0.0005815861312740626,393.3279416465281,1205.9980637543858,4
02-12-2020,MID00234,flirt_nomoco.nii.gz,1.0,0.0,10.776668097846105,4813965.215686275,0.0005783834447783463,393.8691303277925,1208.778764324074,Not Found
02-12-2020,MID00234,flirt_ref.nii.gz,1.0,0.0,10.776668097846105,4813965.215686275,0.0005783834447783463,393.8691303277925,1208.778764324074,4
02-12-2020,MID00234,flirt_tclmoco.nii.gz,0.9973216213300058,36.97663835938417,10.076421125558879,4330607.223054379,0.0005666936215435412,395.02500979711505,1195.469091613161,4
02-12-2020,MID00234,flirt_tclmocos.nii.gz,0.99749493782281,37.091307255206175,10.096878330033995,4350967.143601432,0.0005649642354666164,394.70770848145656,1196.404760433199,4
02-12-2020,MID00235,flirt_fnWMmoco.nii.gz,0.9857006853827983,33.546018631767694,10.459215411566145,4436423.567697818,0.0005451001857193686,398.06302214856566,1244.0008731124726,3
02-12-2020,MID00235,flirt_fnmoco.nii.gz,0.9853178786370316,33.53878697718319,10.428748138686142,4492180.979094758,0.0005491014102549276,398.4360723216734,1245.742339799319,3
02-12-2020,MID00235,flirt_nomoco.nii.gz,0.9820522200064636,32.58825838215773,10.173394897507297,4232175.838879843,0.000566405599793142,399.59940084207483,1239.3353775010119,3
02-12-2020,MID00235,flirt_ref.nii.gz,1.0,0.0,10.776668097846105,4813965.215686275,0.0005783834447783463,393.8691303277925,1208.778764324074,4
02-12-2020,MID00235,flirt_tclmoco.nii.gz,0.9866242198494324,32.154544996131655,10.277059326234912,4496494.203581895,0.000518263847949558,398.32125135530237,1261.766237970004,3
02-12-2020,MID00235,flirt_tclmocos.nii.gz,0.986656528857873,31.575236988866035,10.433697789910445,4571700.038814718,0.0005276548366528231,398.9614569343696,1275.0885728060193,3
02-12-2020,MID00237,flirt_fnWMmoco.nii.gz,0.972427257778343,30.48047282013114,10.22321328835981,4333126.640573103,0.0005435335930650963,400.8469055022123,1288.39147978875,2
02-12-2020,MID00237,flirt_fnmoco.nii.gz,0.9724534468827726,30.51690423896298,10.25906829122809,4346580.221295995,0.0005451443671638162,400.0075010847448,1288.163193803889,2
02-12-2020,MID00237,flirt_nomoco.nii.gz,0.9707154704563765,29.793998914630148,10.484113339916957,4492082.090263758,0.0005415642097815339,402.09757621441787,1295.6005314831611,2
02-12-2020,MID00237,flirt_ref.nii.gz,1.0,0.0,10.776668097846105,4813965.215686275,0.0005783834447783463,393.8691303277925,1208.778764324074,5
02-12-2020,MID00237,flirt_tclmoco.nii.gz,0.9684410498811253,27.09223145621824,11.02310051010908,5196717.364506675,0.0005381958667241301,405.2755484183548,1364.3542651214702,2
02-12-2020,MID00237,flirt_tclmocos.nii.gz,0.9688801784248489,27.44642851880075,10.86073031190416,5110163.708498861,0.0005400576461283267,404.6291941876134,1356.4183161934134,2
11-11-2020,MID00367,flirt_fnWMmoco.nii.gz,0.9989268138131842,42.48880116784366,13.023648006912353,6124225.994688307,0.0006918393692704214,418.85278984253955,1425.505583812635,4
11-11-2020,MID00367,flirt_fnmoco.nii.gz,0.9988771422478919,40.48548211022297,13.194537888628762,6259037.174474364,0.0006907416323586887,418.67081136504896,1432.1120899129005,4
11-11-2020,MID00367,flirt_nomoco.nii.gz,1.0,0.0,12.968480845495304,6003348.706160088,0.0006860795727539647,418.7551203451797,1410.976369456634,Not Found
11-11-2020,MID00367,flirt_ref.nii.gz,1.0,0.0,12.968480845495304,6003348.706160088,0.0006860795727539647,418.7551203451797,1410.976369456634,4
11-11-2020,MID00367,flirt_tclmoco.nii.gz,0.9866763478663809,31.736895072803456,12.190510676831416,5386438.8323128,0.0006661397212169493,422.79014388659454,1428.2804013027785,3
11-11-2020,MID00367,flirt_tclmocos.nii.gz,0.9873306556858119,31.873849218330484,12.083017117780363,5110916.9087421615,0.0006729146792100353,421.4811219307803,1419.507854061314,3
11-11-2020,MID00370,flirt_fnWMmoco.nii.gz,0.966580134566244,28.036205248422974,10.95424352875603,4520501.551736854,0.000652046262975262,424.93546219337225,1355.1729982507288,2
11-11-2020,MID00370,flirt_fnmoco.nii.gz,0.9540739183912005,27.00826505099617,10.417201298215586,4044792.318607567,0.0006488941349342722,424.4967251298991,1317.2429466423398,2
11-11-2020,MID00370,flirt_nomoco.nii.gz,0.9237184212182571,26.63617459947369,10.184306338556961,4170750.4524072846,0.0006273211408734864,428.1885277266904,1357.5968612375868,1
11-11-2020,MID00370,flirt_ref.nii.gz,1.0,0.0,12.968480845495304,6003348.706160088,0.0006860795727539647,418.7551203451797,1410.976369456634,5
11-11-2020,MID00370,flirt_tclmoco.nii.gz,0.9655658559782004,27.821609015666297,11.437485193114185,4933004.14061232,0.0006464448213550476,424.1454360831073,1413.974354655403,2
