Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9174169370505569,2.2584949330522263e-80
mprage,PSNR,0.9137510668155849,1.326285609997408e-78
mprage,FSIM,0.8945040865261412,1.882719151116656e-70
mprage,VIF,0.9247084102513375,3.782688934648681e-84
mprage,LPIPS,-0.9028394112429214,9.007297161241633e-74
mprage,AES,0.7925262357220128,1.0203943571908932e-48
mprage,TG,0.7646896171027995,1.7501071379915407e-43
mprage,NGS,0.07493314047764231,0.26843960031972236
mprage,GE,-0.037210957796652365,0.5830235024396304
mprage,IE,-0.009721746143038681,0.8859910758349976
t1tirm,SSIM,0.7908906158448292,8.905799826977414e-25
t1tirm,PSNR,0.7238738146739426,4.0940089758453913e-19
t1tirm,FSIM,0.8788201723601508,1.7147702934311032e-36
t1tirm,VIF,0.795911669249674,2.7712277546448608e-25
t1tirm,LPIPS,-0.9353194739282831,1.5104804682916753e-50
t1tirm,AES,0.6821016342775658,2.1662805793595403e-19
t1tirm,TG,0.20369652031832144,0.019147193827049047
t1tirm,NGS,0.06377112377647676,0.4675655915413275
t1tirm,GE,-0.40780912700376754,1.2129804921524778e-06
t1tirm,IE,0.01841770975989345,0.8339732089099212
flair,SSIM,0.8806996744595336,3.426233076327724e-17
flair,PSNR,0.8635350470584827,7.054576039141321e-16
flair,FSIM,0.8710566253578196,1.976756670174726e-16
flair,VIF,0.9100627589742524,5.468836690735876e-20
flair,LPIPS,-0.919512947093932,4.245569822867938e-21
flair,AES,0.8411687449519744,4.030740364363864e-17
flair,TG,0.8553728683365264,3.2758975262117946e-18
flair,NGS,0.4833029722928456,9.171207615190056e-05
flair,GE,-0.5768157767361347,1.4087062286988959e-06
flair,IE,-0.11999554136262115,0.36111920394255015
t2tse,SSIM,0.8058237147341843,2.5057577200430564e-26
t2tse,PSNR,0.7933216028110179,5.081062065462762e-25
t2tse,FSIM,0.8419782256295526,1.031317882745464e-30
t2tse,VIF,0.8550519145129217,1.4044033234698112e-32
t2tse,LPIPS,-0.8525433267431428,3.306787439380812e-32
t2tse,AES,0.7765690878313148,7.395402391571538e-28
t2tse,TG,0.26507310645497156,0.002128914345895125
t2tse,NGS,0.22456631489395348,0.009634392493000946
t2tse,GE,-0.6389199887198646,1.6769397564625141e-16
t2tse,IE,-0.032595923795992195,0.7106112074347024
