Metric,Correlation Coefficient,P-Value
SSIM,0.8560070127670312,1.3380941078144034e-52
PSNR,0.7660533174545412,8.280779781308911e-36
FSIM,0.8104401162049361,5.778542498813745e-43
VIF,0.7919420556133596,9.030201749339629e-40
LPIPS,-0.8800943759932262,3.752381490896713e-59
AES,0.2222411465003183,0.0009799266446049641
TG,0.26167580358567716,9.593627889319703e-05
NGS,0.059384964012559986,0.384021124843422
GE,-0.09382162164891625,0.1684702457212786
IE,-0.08451290898525017,0.2149820437286001
