Metric,Correlation Coefficient,P-Value
SSIM,0.8822113202571124,8.548604200592384e-60
PSNR,0.850626993959743,2.675983779678966e-51
FSIM,0.8596492087986861,1.6418280666395745e-53
VIF,0.8642315384630609,1.0760456776279758e-54
LPIPS,-0.8863192001977482,4.460094856027874e-61
AES,0.4110971035996875,2.944373634373423e-10
TG,0.43855299311455903,1.2968251578048128e-11
NGS,0.05538570611194127,0.416910154493878
GE,-0.09171991138012568,0.17825278364729472
IE,-0.07097964463939553,0.2979359555941234
