Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9064239725690061,2.710772076653758e-75
mprage,PSNR,0.7743659146072042,8.030691181701461e-41
mprage,FSIM,nan,nan
mprage,VIF,nan,nan
mprage,LPIPS,nan,nan
mprage,AES,0.43123767862219736,2.235044375045646e-11
mprage,TG,0.4840322396058345,2.536837068066966e-14
mprage,NGS,0.13619030918753527,0.04359824594825295
mprage,GE,-0.1212789243567513,0.07261515469108876
mprage,IE,-0.00685097833949873,0.9195197120301393
t1tirm,SSIM,0.7960474957619783,2.683865286369994e-25
t1tirm,PSNR,0.6991352792329398,1.9951817037040694e-17
t1tirm,FSIM,nan,nan
t1tirm,VIF,nan,nan
t1tirm,LPIPS,nan,nan
t1tirm,AES,0.7659574301778251,1.0363850738343236e-26
t1tirm,TG,0.5220366108087332,1.3687716749193914e-10
t1tirm,NGS,0.0824871596109124,0.34706620327663606
t1tirm,GE,-0.47878718068628956,6.35913320283393e-09
t1tirm,IE,0.01835490427051615,0.8345312630676117
flair,SSIM,0.89834645431567,9.026350810142026e-19
flair,PSNR,0.8712977015853626,1.895293838395061e-16
flair,FSIM,nan,nan
flair,VIF,nan,nan
flair,LPIPS,nan,nan
flair,AES,0.8866554269103633,4.378826690990491e-21
flair,TG,0.8465545913433664,1.6034184489356818e-17
flair,NGS,0.4666152202614858,0.00017128653505312538
flair,GE,-0.5882014001956578,7.729987534589143e-07
flair,IE,-0.06543942895240619,0.6193571224499412
t2tse,SSIM,0.819514343828566,7.149207184462274e-28
t2tse,PSNR,0.8326243233125828,1.7676512300963345e-29
t2tse,FSIM,nan,nan
t2tse,VIF,nan,nan
t2tse,LPIPS,nan,nan
t2tse,AES,0.7838266202485823,1.1167017993792116e-28
t2tse,TG,0.7019051896152031,6.892311880196307e-21
t2tse,NGS,0.23330631506818275,0.007097176340780488
t2tse,GE,-0.6811191549768831,2.5523319909454655e-19
t2tse,IE,-0.10371239474234754,0.23664043548662064
