Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.904436937709915,1.9228494045493936e-74
mprage,PSNR,0.7530227132095921,1.7715672851736354e-37
mprage,FSIM,nan,nan
mprage,VIF,nan,nan
mprage,LPIPS,nan,nan
mprage,AES,0.37681058734492967,7.866029273808097e-09
mprage,TG,0.4996497361553168,2.7013182374106144e-15
mprage,NGS,0.13619030918753527,0.04359824594825295
mprage,GE,-0.1212789243567513,0.07261515469108876
mprage,IE,0.012695323812821114,0.8514748768676597
t1tirm,SSIM,0.7939874603253648,4.351402624687437e-25
t1tirm,PSNR,0.6701861219105071,1.172562361292374e-15
t1tirm,FSIM,nan,nan
t1tirm,VIF,nan,nan
t1tirm,LPIPS,nan,nan
t1tirm,AES,0.6423823960372045,1.022894330114832e-16
t1tirm,TG,0.4963805683981059,1.422879195014936e-09
t1tirm,NGS,0.0824871596109124,0.34706620327663606
t1tirm,GE,-0.47878718068628956,6.35913320283393e-09
t1tirm,IE,0.10089178489385224,0.24970213990689863
flair,SSIM,0.8885587594774305,7.316770647165586e-18
flair,PSNR,0.8521562491184602,4.2155506419958444e-15
flair,FSIM,nan,nan
flair,VIF,nan,nan
flair,LPIPS,nan,nan
flair,AES,0.7814221277293297,1.7449516001707792e-13
flair,TG,0.7056575010317677,3.0502528857782955e-10
flair,NGS,0.4666152202614858,0.00017128653505312538
flair,GE,-0.5882014001956578,7.729987534589143e-07
flair,IE,-0.1330834271531024,0.31072950691387724
t2tse,SSIM,0.7821440978114964,6.317144098988897e-24
t2tse,PSNR,0.5829495271808162,2.3584986255277993e-11
t2tse,FSIM,nan,nan
t2tse,VIF,nan,nan
t2tse,LPIPS,nan,nan
t2tse,AES,0.6712351619848923,1.2832870072457846e-18
t2tse,TG,0.6442437534612367,7.821312391643293e-17
t2tse,NGS,0.23330631506818275,0.007097176340780488
t2tse,GE,-0.6811191549768831,2.5523319909454655e-19
t2tse,IE,0.24430543867381738,0.0047566473108796165
