Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9312526158609168,7.066285302938777e-88
mprage,PSNR,0.9306772585342197,1.5541427437442728e-87
mprage,FSIM,0.9124749041313361,5.247767867372431e-78
mprage,VIF,0.9351322123706779,2.887780383766248e-90
mprage,LPIPS,-0.9149466949615075,3.5853302091508114e-79
mprage,AES,0.8194511228900426,1.318455356069724e-54
mprage,TG,0.8338151299164918,3.635043127461734e-58
mprage,NGS,-0.03075596690899966,0.6500495850716462
mprage,GE,-0.12423273089841019,0.06587051900265055
mprage,IE,-0.06324531468435855,0.3504737662110845
t1tirm,SSIM,0.7554217859317954,1.4937256657088563e-21
t1tirm,PSNR,0.6596278743540614,4.6348175051853345e-15
t1tirm,FSIM,0.7623489380593091,3.8813050394346374e-22
t1tirm,VIF,0.7025218869397242,1.1999884993874823e-17
t1tirm,LPIPS,-0.8759361227488918,5.638767719803612e-36
t1tirm,AES,0.6725368816244809,1.041107170672375e-18
t1tirm,TG,0.40940019940132577,1.0920247972907239e-06
t1tirm,NGS,0.20808243699316964,0.016655979648714018
t1tirm,GE,-0.4028579609245236,1.6761928913364755e-06
t1tirm,IE,-0.08007438206066776,0.36139975969285554
flair,SSIM,0.9038429923036471,2.5335430708570176e-19
flair,PSNR,0.878288912184105,5.383968245073502e-17
flair,FSIM,0.8989250372617729,7.923696324435261e-19
flair,VIF,0.9131485346868009,2.451442412995352e-20
flair,LPIPS,-0.9266488034292004,4.9631597053198845e-22
flair,AES,0.9078360352578585,1.468179677292967e-23
flair,TG,0.9202262725520453,2.656538159099584e-25
flair,NGS,0.4979535907150261,5.157390432444224e-05
flair,GE,-0.7164291938145518,1.2243212391507507e-10
flair,IE,-0.19765777197010365,0.13007097644636406
t2tse,SSIM,0.8265955472799674,1.0070722715557312e-28
t2tse,PSNR,0.8104734479421833,7.734016445036893e-27
t2tse,FSIM,0.8452307707126115,3.6761207630945073e-31
t2tse,VIF,0.8506335338840525,6.279940521594068e-32
t2tse,LPIPS,-0.8696770265739843,6.762866776480866e-35
t2tse,AES,0.8429941386901522,8.138928985711107e-37
t2tse,TG,0.5453014939085465,1.3738093717431452e-11
t2tse,NGS,0.3881389209766991,4.254077539948918e-06
t2tse,GE,-0.651926347430058,2.5328494272301967e-17
t2tse,IE,-0.10984692503575734,0.20990031803336792
