Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-01,acq-mpragepmcoff_rec-wre_run-02,4,3,4,4
sub-01,acq-mpragepmcoff_rec-wore_run-02,3,3,3,3
sub-01,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-01,acq-mpragepmcoff_rec-wore_run-03,2,1,1,1
sub-01,ref_mprage,5,5,5,5
sub-01,acq-mpragepmcon_rec-wre_run-02,5,5,5,5
sub-01,acq-mpragepmcon_rec-wore_run-02,5,5,5,5
sub-01,acq-mpragepmcon_rec-wre_run-03,4,4,4,4
sub-01,acq-mpragepmcon_rec-wore_run-03,3,3,4,3
sub-01,acq-mpragepmcon_rec-wore_run-01,5,5,5,5
sub-02,acq-mpragepmcoff_rec-wre_run-02,3,2,3,2
sub-02,acq-mpragepmcoff_rec-wore_run-02,2,1,1,1
sub-02,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-02,acq-mpragepmcoff_rec-wore_run-03,2,2,2,1
sub-02,ref_mprage,5,5,5,4
sub-02,acq-mpragepmcon_rec-wre_run-02,4,5,5,4
sub-02,acq-mpragepmcon_rec-wore_run-02,4,3,4,3
sub-02,acq-mpragepmcon_rec-wre_run-03,5,4,4,3
sub-02,acq-mpragepmcon_rec-wore_run-03,3,3,3,3
sub-02,acq-mpragepmcon_rec-wore_run-01,4,5,5,4
sub-03,acq-mpragepmcoff_rec-wre_run-02,2,2,2,2
sub-03,acq-mpragepmcoff_rec-wore_run-02,2,1,2,1
sub-03,acq-mpragepmcoff_rec-wre_run-03,3,3,2,3
sub-03,acq-mpragepmcoff_rec-wore_run-03,2,2,1,1
sub-03,ref_mprage,5,5,5,4
sub-03,acq-mpragepmcon_rec-wre_run-02,4,3,3,4
sub-03,acq-mpragepmcon_rec-wore_run-02,3,2,2,3
sub-03,acq-mpragepmcon_rec-wre_run-03,1,2,2,3
sub-03,acq-mpragepmcon_rec-wore_run-03,2,1,1,3
sub-03,acq-mpragepmcon_rec-wore_run-01,5,4,5,4
sub-04,acq-mpragepmcoff_rec-wre_run-02,4,3,4,3
sub-04,acq-mpragepmcoff_rec-wore_run-02,3,3,2,3
sub-04,acq-mpragepmcoff_rec-wre_run-03,3,2,2,3
sub-04,acq-mpragepmcoff_rec-wore_run-03,2,2,1,1
sub-04,ref_mprage,5,5,5,4
sub-04,acq-mpragepmcon_rec-wre_run-02,4,4,5,4
sub-04,acq-mpragepmcon_rec-wore_run-02,4,3,5,4
sub-04,acq-mpragepmcon_rec-wre_run-03,4,3,4,3
sub-04,acq-mpragepmcon_rec-wore_run-03,3,2,3,2
sub-04,acq-mpragepmcon_rec-wore_run-01,4,5,5,4
sub-05,acq-mpragepmcoff_rec-wre_run-02,3,2,3,3
sub-05,acq-mpragepmcoff_rec-wore_run-02,3,2,2,3
sub-05,acq-mpragepmcoff_rec-wre_run-03,1,1,1,1
sub-05,acq-mpragepmcoff_rec-wore_run-03,1,1,1,1
sub-05,ref_mprage,5,5,5,4
sub-05,acq-mpragepmcon_rec-wre_run-02,3,4,4,4
sub-05,acq-mpragepmcon_rec-wore_run-02,4,4,4,3
sub-05,acq-mpragepmcon_rec-wre_run-03,3,3,4,3
sub-05,acq-mpragepmcon_rec-wore_run-03,3,2,2,2
sub-05,acq-mpragepmcon_rec-wore_run-01,5,4,5,4
sub-06,acq-mpragepmcoff_rec-wre_run-02,4,3,4,4
sub-06,acq-mpragepmcoff_rec-wore_run-02,3,3,3,3
sub-06,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-06,acq-mpragepmcoff_rec-wore_run-03,2,1,1,1
sub-06,ref_mprage,5,5,5,4
