Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-02,acq-flairpmcoff_rec-wre_run-02,2,3,3,3
sub-02,acq-flairpmcoff_rec-wore_run-02,1,1,2,2
sub-02,ref_flair,4,4,5,4
sub-02,acq-flairpmcon_rec-wre_run-02,3,5,4,3
sub-02,acq-flairpmcon_rec-wore_run-02,3,3,3,3
sub-02,acq-flairpmcon_rec-wre_run-01,4,4,5,4
sub-03,acq-flairpmcoff_rec-wre_run-02,3,4,3,3
sub-03,acq-flairpmcoff_rec-wore_run-02,2,2,2,2
sub-03,ref_flair,4,5,5,4
sub-03,acq-flairpmcon_rec-wre_run-02,4,4,4,3
sub-03,acq-flairpmcon_rec-wore_run-02,3,3,3,3
sub-03,acq-flairpmcon_rec-wre_run-01,5,5,4,4
sub-04,acq-flairpmcoff_rec-wre_run-02,3,4,4,3
sub-04,acq-flairpmcoff_rec-wore_run-02,2,2,3,3
sub-04,ref_flair,4,4,5,4
sub-04,acq-flairpmcon_rec-wre_run-02,3,3,3,3
sub-04,acq-flairpmcon_rec-wore_run-02,3,3,4,3
sub-04,acq-flairpmcon_rec-wre_run-01,4,4,5,4
sub-05,acq-flairpmcoff_rec-wre_run-02,3,4,4,4
sub-05,acq-flairpmcoff_rec-wore_run-02,3,3,3,3
sub-05,ref_flair,4,5,5,4
sub-05,acq-flairpmcon_rec-wre_run-02,3,4,4,3
sub-05,acq-flairpmcon_rec-wore_run-02,3,4,4,3
sub-05,acq-flairpmcon_rec-wre_run-01,3,3,4,4
sub-07,acq-flairpmcoff_rec-wre_run-02,2,2,2,3
sub-07,acq-flairpmcoff_rec-wore_run-02,2,2,2,2
sub-07,ref_flair,4,5,5,4
sub-07,acq-flairpmcon_rec-wre_run-02,4,4,5,4
sub-07,acq-flairpmcon_rec-wore_run-02,3,2,3,3
sub-07,acq-flairpmcon_rec-wre_run-01,4,4,5,4
sub-12,acq-flairpmcoff_rec-wre_run-02,3,3,4,3
sub-12,acq-flairpmcoff_rec-wore_run-02,2,1,2,3
sub-12,ref_flair,5,4,5,4
sub-12,acq-flairpmcon_rec-wre_run-02,3,4,4,3
sub-12,acq-flairpmcon_rec-wore_run-02,2,2,3,2
sub-12,acq-flairpmcon_rec-wre_run-01,4,4,5,3
sub-13,acq-flairpmcoff_rec-wre_run-02,3,4,4,4
sub-13,acq-flairpmcoff_rec-wore_run-02,2,1,3,2
sub-13,ref_flair,4,4,5,4
sub-13,acq-flairpmcon_rec-wre_run-02,4,4,4,4
sub-13,acq-flairpmcon_rec-wore_run-02,3,3,4,3
sub-13,acq-flairpmcon_rec-wre_run-01,4,4,5,4
sub-15,acq-flairpmcoff_rec-wre_run-02,3,4,4,4
sub-15,acq-flairpmcoff_rec-wore_run-02,2,2,2,3
sub-15,ref_flair,4,4,5,4
sub-15,acq-flairpmcon_rec-wre_run-02,3,3,3,3
sub-15,acq-flairpmcon_rec-wore_run-02,2,1,2,2
sub-15,acq-flairpmcon_rec-wre_run-01,3,4,4,3
sub-16,acq-flairpmcoff_rec-wre_run-02,3,3,3,3
sub-16,acq-flairpmcoff_rec-wore_run-02,2,2,3,2
sub-16,ref_flair,5,5,5,4
sub-16,acq-flairpmcon_rec-wre_run-02,3,4,4,3
sub-16,acq-flairpmcon_rec-wore_run-02,3,2,3,3
sub-16,acq-flairpmcon_rec-wre_run-01,4,4,5,3
sub-17,acq-flairpmcoff_rec-wre_run-02,3,3,4,3
sub-17,acq-flairpmcoff_rec-wore_run-02,2,2,3,2
sub-17,ref_flair,5,5,5,4
sub-17,acq-flairpmcon_rec-wre_run-02,3,3,4,3
sub-17,acq-flairpmcon_rec-wore_run-02,3,2,3,2
sub-17,acq-flairpmcon_rec-wre_run-01,4,4,4,3
