Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9174169370505569,2.2584949330522263e-80
mprage,PSNR,0.9178165122599454,1.432424359683144e-80
mprage,FSIM,0.8945040865261412,1.882719151116656e-70
mprage,VIF,0.9247084102513375,3.782688934648681e-84
mprage,LPIPS,-0.9028394112429214,9.007297161241633e-74
mprage,AES,0.7931402704725928,7.661979724718858e-49
mprage,TG,0.7516282449750051,2.8576912441386784e-41
mprage,NGS,0.1290297714705592,0.056015654922891955
mprage,GE,-0.09146010892080808,0.17647793011059335
mprage,IE,-0.009721746143038681,0.8859910758349976
t1tirm,SSIM,0.7908906158448292,8.905799826977414e-25
t1tirm,PSNR,0.7148187138536635,1.7809200776151345e-18
t1tirm,FSIM,0.8788201723601508,1.7147702934311032e-36
t1tirm,VIF,0.795911669249674,2.7712277546448608e-25
t1tirm,LPIPS,-0.9353194739282831,1.5104804682916753e-50
t1tirm,AES,0.698870699941305,1.190480110837607e-20
t1tirm,TG,0.40859157872559304,1.1519873616865227e-06
t1tirm,NGS,0.0831544679355462,0.34316594597748873
t1tirm,GE,-0.47114584614538463,1.1873371352457257e-08
t1tirm,IE,0.01841770975989345,0.8339732089099212
flair,SSIM,0.8806996744595336,3.426233076327724e-17
flair,PSNR,0.8863408581840361,1.1442095781265148e-17
flair,FSIM,0.8710566253578196,1.976756670174726e-16
flair,VIF,0.9100627589742524,5.468836690735876e-20
flair,LPIPS,-0.919512947093932,4.245569822867938e-21
flair,AES,0.8597820068331066,1.4228379511879224e-18
flair,TG,0.8872693575871022,3.773667025389848e-21
flair,NGS,0.46418740349438153,0.0001870869797761128
flair,GE,-0.5857735834285537,8.802186696584461e-07
flair,IE,-0.11981581733610243,0.361844118731121
t2tse,SSIM,0.8058237147341843,2.5057577200430564e-26
t2tse,PSNR,0.8240869595101885,2.0368383381151946e-28
t2tse,FSIM,0.8419782256295526,1.031317882745464e-30
t2tse,VIF,0.8550519145129217,1.4044033234698112e-32
t2tse,LPIPS,-0.8525433267431428,3.306787439380812e-32
t2tse,AES,0.7854429036791812,7.257280211731492e-29
t2tse,TG,0.6336959297745356,3.4939890231019875e-16
t2tse,NGS,0.21973845529606043,0.01135395652542965
t2tse,GE,-0.6781988246875054,4.1401077620888155e-19
t2tse,IE,-0.032595923795992195,0.7106112074347024
