Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.8150505695026815,2.4280709434317182e-48
mprage,PSNR,0.6984048088130903,2.732171644519403e-30
mprage,FSIM,0.2043153493634632,0.0038857671441321724
mprage,VIF,0.15153967253117742,0.03307476696192157
mprage,LPIPS,-0.7575961457418573,3.6404156748946533e-38
mprage,AES,0.516374415879718,2.1547218613679173e-16
mprage,TG,0.21775694559531722,0.0011518062986603482
mprage,NGS,0.21171319417263443,0.001587451936969467
mprage,GE,-0.30371955111902754,4.473601921508729e-06
mprage,IE,-0.14995044947215347,0.026145475215142225
t1tirm,SSIM,0.43846609191956126,1.65922981779182e-06
t1tirm,PSNR,0.10322814935118332,0.28319569482014034
t1tirm,FSIM,0.14750759236234878,0.12409141839259345
t1tirm,VIF,0.1754923814474218,0.06668178419514682
t1tirm,LPIPS,-0.35225247700968265,0.0001606775208157057
t1tirm,AES,0.5277492934466769,7.909798371621238e-11
t1tirm,TG,0.002093516312576692,0.9809930554218759
t1tirm,NGS,-0.027678902547654587,0.7527296690125068
t1tirm,GE,-0.4543767804816453,4.435118090635858e-08
t1tirm,IE,-0.3147444762235614,0.00023727744571654618
flair,SSIM,0.8154162320409303,5.590811135391005e-13
flair,PSNR,0.6645025135991072,1.4241063498934905e-07
flair,FSIM,0.18924483862113595,0.18809100895894118
flair,VIF,-0.041416895891861344,0.7752021949751897
flair,LPIPS,-0.46850754060677147,0.0006004304906225159
flair,AES,0.8929063574371604,9.238852868061149e-22
flair,TG,0.4263469490553782,0.0006820953430675509
flair,NGS,0.36018196566682587,0.004701298107967569
flair,GE,-0.6335206465149362,5.551728491466018e-08
flair,IE,-0.2712178294193756,0.03607197588710791
t2tse,SSIM,0.48711965984522554,6.79585892601924e-08
t2tse,PSNR,0.12659068770968007,0.18755857690917518
t2tse,FSIM,0.140585250584487,0.14294470785396396
t2tse,VIF,0.4114265395440817,8.000266687776642e-06
t2tse,LPIPS,-0.4661028657450698,2.871439162354487e-07
t2tse,AES,0.7981685118584103,2.1302912069807988e-30
t2tse,TG,0.3290369984535788,0.00011704982076548262
t2tse,NGS,0.30046604021365614,0.00046437958440690726
t2tse,GE,-0.7334253403486213,1.52424605397293e-23
t2tse,IE,-0.30720930063027857,0.00033961398481745166
