Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.8883850103544579,3.4654023204892373e-68
mprage,PSNR,0.4481692851923744,3.5707133466559384e-11
mprage,FSIM,0.8787758460651115,6.953767652924682e-65
mprage,VIF,0.8841120335997951,1.1075328018613703e-66
mprage,LPIPS,-0.9027921746387108,9.424258301311698e-74
mprage,AES,0.20129211498339694,0.0027051391734300755
mprage,TG,0.22301606567618246,0.0008651255886207029
mprage,NGS,0.13619030918753527,0.04359824594825295
mprage,GE,-0.1212789243567513,0.07261515469108876
mprage,IE,-0.008611173631869942,0.8989411197404671
t1tirm,SSIM,0.7434645252986167,1.3806796171914232e-20
t1tirm,PSNR,0.5993027926893612,4.61456607019847e-12
t1tirm,FSIM,0.8773939939809567,3.100863271042422e-36
t1tirm,VIF,0.7799656367051624,1.0147428451637374e-23
t1tirm,LPIPS,-0.9354598279909975,1.3483637585184563e-50
t1tirm,AES,0.07659914498179045,0.3826792901051891
t1tirm,TG,-0.016703643278971284,0.8492321733322186
t1tirm,NGS,0.0824871596109124,0.34706620327663606
t1tirm,GE,-0.47878718068628956,6.35913320283393e-09
t1tirm,IE,0.014651997292646124,0.8675695367275253
flair,SSIM,0.8284825635737526,1.1232258705715723e-13
flair,PSNR,0.31759382216494836,0.02461039582366398
flair,FSIM,0.8673440514536598,3.7400335379026257e-16
flair,VIF,0.8905837997887903,4.8239907941436365e-18
flair,LPIPS,-0.9090502388185725,7.071586105511959e-20
flair,AES,0.7192197877997291,9.598712295259181e-11
flair,TG,0.1931649156539683,0.13920968504808726
flair,NGS,0.4666152202614858,0.00017128653505312538
flair,GE,-0.5882014001956578,7.729987534589143e-07
flair,IE,-0.11963276414454811,0.3625833739207054
t2tse,SSIM,0.8060641399634759,2.359823606104436e-26
t2tse,PSNR,0.6991112035293353,2.0023553922579348e-17
t2tse,FSIM,0.846587131911823,2.3741613772901606e-31
t2tse,VIF,0.853214702855127,2.633596036130809e-32
t2tse,LPIPS,-0.860935528142946,1.7662424045034544e-33
t2tse,AES,0.6855744297579822,1.2070351721207502e-19
t2tse,TG,0.532132457320598,5.156972902764429e-11
t2tse,NGS,0.23330631506818275,0.007097176340780488
t2tse,GE,-0.6811191549768831,2.5523319909454655e-19
t2tse,IE,-0.030200360854211558,0.731031295896004
