Metric,Correlation Coefficient,P-Value
SSIM,0.8387569850515244,1.3339866308163824e-48
PSNR,0.6615494653717903,6.752490136087909e-24
FSIM,0.19235594330718,0.009889940692083788
VIF,0.10091500995347207,0.1789076925495939
LPIPS,-0.7594581375765234,7.022371436366244e-35
AES,0.6061717442627507,3.692892679643731e-23
TG,-0.2786801601507024,3.123078320040562e-05
NGS,-0.2565619280454256,0.00013251779723506615
GE,0.4017834861279262,7.977377378465049e-10
IE,0.3025935419329635,5.663207233190626e-06
