Metric,Correlation Coefficient,P-Value
SSIM,0.8560070127670312,1.3380941078144034e-52
PSNR,0.7341567090064434,1.4066722372250847e-31
FSIM,0.8104401162049361,5.778542498813745e-43
VIF,0.7919420556133596,9.030201749339629e-40
LPIPS,-0.8800943759932262,3.752381490896713e-59
AES,0.1842957117728627,0.0064785106468755824
TG,0.25187783631451544,0.0001771197260934194
NGS,0.0628146510731243,0.3571115109944538
GE,-0.05874672585917287,0.3891614485820981
IE,-0.08451290898525017,0.2149820437286001
