Metric,Correlation Coefficient,P-Value
SSIM,0.8838746336073083,2.6207314035118033e-60
PSNR,0.8443901167599294,7.465988960867802e-50
FSIM,0.8662531544914615,3.1324193217545176e-55
VIF,0.8572517584625667,6.5756305344530125e-53
LPIPS,-0.8949863995390214,5.933262365920478e-64
AES,0.3788878419395611,8.14001620044754e-09
TG,0.44957716240951917,3.413110309669344e-12
NGS,0.045324718506674806,0.5065879491530687
GE,-0.13632300999579508,0.04486275533291227
IE,-0.08937234760556349,0.18966894038724857
