Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9174169370505569,2.2584949330522263e-80
mprage,PSNR,0.9178165122599454,1.432424359683144e-80
mprage,FSIM,nan,nan
mprage,VIF,nan,nan
mprage,LPIPS,nan,nan
mprage,AES,0.7931402704725928,7.661979724718858e-49
mprage,TG,0.7516282449750051,2.8576912441386784e-41
mprage,NGS,0.1290297714705592,0.056015654922891955
mprage,GE,-0.09146010892080808,0.17647793011059335
mprage,IE,-0.009721746143038681,0.8859910758349976
t1tirm,SSIM,0.7908906158448292,8.905799826977414e-25
t1tirm,PSNR,0.7148187138536635,1.7809200776151345e-18
t1tirm,FSIM,nan,nan
t1tirm,VIF,nan,nan
t1tirm,LPIPS,nan,nan
t1tirm,AES,0.698870699941305,1.190480110837607e-20
t1tirm,TG,0.40859157872559304,1.1519873616865227e-06
t1tirm,NGS,0.0831544679355462,0.34316594597748873
t1tirm,GE,-0.47114584614538463,1.1873371352457257e-08
t1tirm,IE,0.01841770975989345,0.8339732089099212
flair,SSIM,0.8806996744595336,3.426233076327724e-17
flair,PSNR,0.8863408581840361,1.1442095781265148e-17
flair,FSIM,nan,nan
flair,VIF,nan,nan
flair,LPIPS,nan,nan
flair,AES,0.8597820068331066,1.4228379511879224e-18
flair,TG,0.8872693575871022,3.773667025389848e-21
flair,NGS,0.46418740349438153,0.0001870869797761128
flair,GE,-0.5857735834285537,8.802186696584461e-07
flair,IE,-0.11981581733610243,0.361844118731121
t2tse,SSIM,0.8058237147341843,2.5057577200430564e-26
t2tse,PSNR,0.8240869595101885,2.0368383381151946e-28
t2tse,FSIM,nan,nan
t2tse,VIF,nan,nan
t2tse,LPIPS,nan,nan
t2tse,AES,0.7854429036791812,7.257280211731492e-29
t2tse,TG,0.6336959297745356,3.4939890231019875e-16
t2tse,NGS,0.21973845529606043,0.01135395652542965
t2tse,GE,-0.6781988246875054,4.1401077620888155e-19
t2tse,IE,-0.032595923795992195,0.7106112074347024
