Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9064239725690061,2.710772076653758e-75
mprage,PSNR,0.7815993100159226,4.865908007050647e-42
mprage,FSIM,nan,nan
mprage,VIF,nan,nan
mprage,LPIPS,nan,nan
mprage,AES,0.3837005430513006,3.965934998035115e-09
mprage,TG,0.5616181005882827,1.0969323083782287e-19
mprage,NGS,0.0810401595103205,0.23125108836389688
mprage,GE,-0.06981467785114183,0.30259786756178175
mprage,IE,0.008340591621264739,0.9021004802533904
t1tirm,SSIM,0.7960474957619783,2.683865286369994e-25
t1tirm,PSNR,0.7018201166261525,1.3340941707399695e-17
t1tirm,FSIM,nan,nan
t1tirm,VIF,nan,nan
t1tirm,LPIPS,nan,nan
t1tirm,AES,0.7574525201579823,7.790944968643944e-26
t1tirm,TG,0.3264367648293022,0.000133456507435447
t1tirm,NGS,0.05823900692049286,0.5071291622047643
t1tirm,GE,-0.4096435706726628,1.0745669710384047e-06
t1tirm,IE,0.040925627015483614,0.6412707787467176
flair,SSIM,0.89834645431567,9.026350810142026e-19
flair,PSNR,0.8484436752143004,7.315464391889874e-15
flair,FSIM,nan,nan
flair,VIF,nan,nan
flair,LPIPS,nan,nan
flair,AES,0.8752139915711366,6.044220910684459e-20
flair,TG,0.7813942217894779,1.7506875457465005e-13
flair,NGS,0.4840564326688434,8.909319285446007e-05
flair,GE,-0.5744158659088824,1.5940886669760578e-06
flair,IE,-0.07314146835149536,0.5786360415988714
t2tse,SSIM,0.819514343828566,7.149207184462274e-28
t2tse,PSNR,0.8004345605379863,9.41226784514976e-26
t2tse,FSIM,nan,nan
t2tse,VIF,nan,nan
t2tse,LPIPS,nan,nan
t2tse,AES,0.7665197931248308,9.042472694318737e-27
t2tse,TG,0.4824028796255614,4.707052876099062e-09
t2tse,NGS,0.23423515327342956,0.0068659726753394065
t2tse,GE,-0.6397412496188538,1.4922520501022473e-16
t2tse,IE,-0.09478085448624536,0.27968483358486257
