Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.8883850103544579,3.4654023204892373e-68
mprage,PSNR,0.44123479682013667,7.698803712086644e-11
mprage,FSIM,0.8787758460651115,6.953767652924682e-65
mprage,VIF,0.8841120335997951,1.1075328018613703e-66
mprage,LPIPS,-0.9027921746387108,9.424258301311698e-74
mprage,AES,0.18388391911529564,0.0062330064290867845
mprage,TG,0.22370918493925673,0.000832688944374944
mprage,NGS,0.0810401595103205,0.23125108836389688
mprage,GE,-0.06981467785114183,0.30259786756178175
mprage,IE,-0.008611173631869942,0.8989411197404671
t1tirm,SSIM,0.7434645252986167,1.3806796171914232e-20
t1tirm,PSNR,0.5612306212904971,1.7982829123733786e-10
t1tirm,FSIM,0.8773939939809567,3.100863271042422e-36
t1tirm,VIF,0.7799656367051624,1.0147428451637374e-23
t1tirm,LPIPS,-0.9354598279909975,1.3483637585184563e-50
t1tirm,AES,0.04623269086786552,0.5986084450001002
t1tirm,TG,-0.09120927194818504,0.2982852509917879
t1tirm,NGS,0.05823900692049286,0.5071291622047643
t1tirm,GE,-0.4096435706726628,1.0745669710384047e-06
t1tirm,IE,0.014651997292646124,0.8675695367275253
flair,SSIM,0.8284825635737526,1.1232258705715723e-13
flair,PSNR,0.32077602836851404,0.023132083956601678
flair,FSIM,0.8673440514536598,3.7400335379026257e-16
flair,VIF,0.8905837997887903,4.8239907941436365e-18
flair,LPIPS,-0.9090502388185725,7.071586105511959e-20
flair,AES,0.6963648230611275,6.492338589538409e-10
flair,TG,0.2569299882152682,0.04751162184752099
flair,NGS,0.4840564326688434,8.909319285446007e-05
flair,GE,-0.5744158659088824,1.5940886669760578e-06
flair,IE,-0.11963276414454811,0.3625833739207054
t2tse,SSIM,0.8060641399634759,2.359823606104436e-26
t2tse,PSNR,0.6628069939062947,3.082011357307601e-15
t2tse,FSIM,0.846587131911823,2.3741613772901606e-31
t2tse,VIF,0.853214702855127,2.633596036130809e-32
t2tse,LPIPS,-0.860935528142946,1.7662424045034544e-33
t2tse,AES,0.6391718770467111,1.6180469748428368e-16
t2tse,TG,0.22394708942378896,0.009841275161944654
t2tse,NGS,0.23423515327342956,0.0068659726753394065
t2tse,GE,-0.6397412496188538,1.4922520501022473e-16
t2tse,IE,-0.030200360854211558,0.731031295896004
