Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.904436937709915,1.9228494045493936e-74
mprage,PSNR,0.7515986457482247,2.8792375178564482e-37
mprage,FSIM,nan,nan
mprage,VIF,nan,nan
mprage,LPIPS,nan,nan
mprage,AES,0.3360668113972858,3.29829484421714e-07
mprage,TG,0.5272474065689225,3.8586503333383096e-17
mprage,NGS,0.0810401595103205,0.23125108836389688
mprage,GE,-0.06981467785114183,0.30259786756178175
mprage,IE,0.012695323812821114,0.8514748768676597
t1tirm,SSIM,0.7939874603253648,4.351402624687437e-25
t1tirm,PSNR,0.6830579477265339,2.0305952425062888e-16
t1tirm,FSIM,nan,nan
t1tirm,VIF,nan,nan
t1tirm,LPIPS,nan,nan
t1tirm,AES,0.624799475906951,1.1816923989262288e-15
t1tirm,TG,0.3472567845578774,4.5147784494166114e-05
t1tirm,NGS,0.05823900692049286,0.5071291622047643
t1tirm,GE,-0.4096435706726628,1.0745669710384047e-06
t1tirm,IE,0.10089178489385224,0.24970213990689863
flair,SSIM,0.8885587594774305,7.316770647165586e-18
flair,PSNR,0.8316165545318096,7.491264316985916e-14
flair,FSIM,nan,nan
flair,VIF,nan,nan
flair,LPIPS,nan,nan
flair,AES,0.7722410735180966,5.009292969289154e-13
flair,TG,0.7342331834399826,2.4613319773245757e-11
flair,NGS,0.4840564326688434,8.909319285446007e-05
flair,GE,-0.5744158659088824,1.5940886669760578e-06
flair,IE,-0.1330834271531024,0.31072950691387724
t2tse,SSIM,0.7821440978114964,6.317144098988897e-24
t2tse,PSNR,0.5447445973488472,7.64115836686288e-10
t2tse,FSIM,nan,nan
t2tse,VIF,nan,nan
t2tse,LPIPS,nan,nan
t2tse,AES,0.6471798267710424,5.1026164657686587e-17
t2tse,TG,0.5017589232416795,8.849803437879378e-10
t2tse,NGS,0.23423515327342956,0.0068659726753394065
t2tse,GE,-0.6397412496188538,1.4922520501022473e-16
t2tse,IE,0.24430543867381738,0.0047566473108796165
