Sequence,Metric,Correlation Coefficient,P-Value
mprage,SSIM,0.9312526158609168,7.066285302938777e-88
mprage,PSNR,0.928532252080719,2.767817506273942e-86
mprage,FSIM,0.9124749041313361,5.247767867372431e-78
mprage,VIF,0.9351322123706779,2.887780383766248e-90
mprage,LPIPS,-0.9149466949615075,3.5853302091508114e-79
mprage,AES,0.7970001595716854,1.2370989731892992e-49
mprage,TG,0.7868620899593022,1.3710351499551886e-47
mprage,NGS,-0.08066507296534793,0.2334246822015833
mprage,GE,-0.03850737891218251,0.569957715375661
mprage,IE,-0.06324531468435855,0.3504737662110845
t1tirm,SSIM,0.7554217859317954,1.4937256657088563e-21
t1tirm,PSNR,0.668723723128032,1.4231839148189995e-15
t1tirm,FSIM,0.7623489380593091,3.8813050394346374e-22
t1tirm,VIF,0.7025218869397242,1.1999884993874823e-17
t1tirm,LPIPS,-0.8759361227488918,5.638767719803612e-36
t1tirm,AES,0.6307659973977945,5.241861168440745e-16
t1tirm,TG,0.42562756771918586,3.62488218077371e-07
t1tirm,NGS,0.18582574169508867,0.032901265543025936
t1tirm,GE,-0.35563608359896565,2.8550124691479367e-05
t1tirm,IE,-0.08007438206066776,0.36139975969285554
flair,SSIM,0.9038429923036471,2.5335430708570176e-19
flair,PSNR,0.8587135225076257,1.5334875563969262e-15
flair,FSIM,0.8989250372617729,7.923696324435261e-19
flair,VIF,0.9131485346868009,2.451442412995352e-20
flair,LPIPS,-0.9266488034292004,4.9631597053198845e-22
flair,AES,0.90691513924275,1.9334854593458815e-23
flair,TG,0.907026763002157,1.8703154387653822e-23
flair,NGS,0.4859261306389122,8.288873953230419e-05
flair,GE,-0.7059365604302854,2.9804986675107357e-10
flair,IE,-0.19765777197010365,0.13007097644636406
t2tse,SSIM,0.8265955472799674,1.0070722715557312e-28
t2tse,PSNR,0.798697148031973,1.4297430558765496e-25
t2tse,FSIM,0.8452307707126115,3.6761207630945073e-31
t2tse,VIF,0.8506335338840525,6.279940521594068e-32
t2tse,LPIPS,-0.8696770265739843,6.762866776480866e-35
t2tse,AES,0.8183746785776356,4.5233306321150064e-33
t2tse,TG,0.44986992791128083,6.245316949871983e-08
t2tse,NGS,0.33905218328246894,6.984416606768508e-05
t2tse,GE,-0.5943751124190869,5.763998887295769e-14
t2tse,IE,-0.10984692503575734,0.20990031803336792
